19:21:31
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               458.6MiB / 2GiB       22.39%              3.01kB / 2.58kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               463.6MiB / 2GiB       22.64%              5.3kB / 3.62kB      0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 2.98%               458.8MiB / 6.773GiB   6.62%               37.5MB / 393kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 2.73%               422.2MiB / 6.773GiB   6.09%               37.5MB / 403kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.15%               17.14MiB / 6.773GiB   0.25%               65.5kB / 194kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               0.39%               55.96MiB / 6.773GiB   0.81%               131kB / 69.8kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.41%               56.73MiB / 6.773GiB   0.82%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  1.04%               513.3MiB / 6.773GiB   7.40%               113MB / 1.22MB      0B / 0B             17
001ea55ed420        db                                                                                                     0.00%               15.72MiB / 6.773GiB   0.23%               6.99kB / 5.85kB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.5kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.016MiB / 6.773GiB   0.13%               18.8kB / 35.5kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.10%               173.3MiB / 6.773GiB   2.50%               38.9kB / 45.1kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.08%               182.4MiB / 6.773GiB   2.63%               23kB / 22.2kB       0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.07%               181.3MiB / 6.773GiB   2.61%               2.33MB / 871kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 9.09%               181.6MiB / 6.773GiB   2.62%               6.09MB / 7.05MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               0.36%               190.6MiB / 6.773GiB   2.75%               1.16MB / 1.54MB     0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    2.32%               40.86MiB / 6.773GiB   0.59%               7.62MB / 7.56MB     0B / 0B             24
19:21:35
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               458.6MiB / 2GiB       22.39%              3.08kB / 2.65kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               463.6MiB / 2GiB       22.64%              5.37kB / 3.69kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 3.13%               458.9MiB / 6.773GiB   6.62%               37.5MB / 397kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 2.78%               422.2MiB / 6.773GiB   6.09%               37.5MB / 407kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.13%               17.14MiB / 6.773GiB   0.25%               65.8kB / 194kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               0.41%               55.96MiB / 6.773GiB   0.81%               131kB / 69.8kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.31%               56.73MiB / 6.773GiB   0.82%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  0.95%               513.3MiB / 6.773GiB   7.40%               113MB / 1.23MB      0B / 0B             17
001ea55ed420        db                                                                                                     0.00%               15.72MiB / 6.773GiB   0.23%               6.99kB / 5.85kB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.5kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.016MiB / 6.773GiB   0.13%               18.8kB / 35.5kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.17%               173.5MiB / 6.773GiB   2.50%               40.4kB / 46.8kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.10%               182.4MiB / 6.773GiB   2.63%               23kB / 22.2kB       0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.20%               181.4MiB / 6.773GiB   2.61%               2.33MB / 871kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 10.87%              181.6MiB / 6.773GiB   2.62%               6.25MB / 7.25MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               0.63%               190.7MiB / 6.773GiB   2.75%               1.18MB / 1.56MB     0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    2.97%               41.05MiB / 6.773GiB   0.59%               7.79MB / 7.7MB      0B / 0B             24
19:21:39
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               458.6MiB / 2GiB       22.39%              3.08kB / 2.65kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.10%               463.6MiB / 2GiB       22.64%              5.37kB / 3.69kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 7.29%               458.9MiB / 6.773GiB   6.62%               37.5MB / 401kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 2.36%               422.3MiB / 6.773GiB   6.09%               37.6MB / 411kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.11%               17.14MiB / 6.773GiB   0.25%               65.8kB / 194kB      0B / 0B             10
